"siteID","date","hgDepositionUGM2","filename"
"LKC",1993-08-16,0.0745,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-08-18,0.0376,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-08-20,0.0645,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-08-24,0.3762,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-08-28,0.0473,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-08-31,0.4791,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-09-03,0.3152,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-09-04,0.0161,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-09-06,0.0402,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-09-09,0.4468,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-09-10,0.016,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-09-15,0.0806,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-09-23,0.1424,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-09-26,0.0744,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-09-27,0.084,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-09-28,0.0266,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-09-29,0.0149,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-10-02,0.1662,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-10-04,0.1401,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-10-09,0.1154,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-10-12,0.0331,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-10-16,0.1392,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-10-17,0.0482,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-10-21,0.0656,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-10-21,0.0559,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-10-22,0.0115,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-10-27,0.0394,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-10-30,0.0138,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-10-31,0.0775,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-11-01,0.0475,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-11-03,0.0512,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-11-05,0.0676,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-11-12,0.0204,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-11-13,0.0146,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-11-14,0.0652,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-11-15,0.0103,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-11-28,0.0828,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-11-29,0.0171,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-12-03,0.069,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-12-04,0.047,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-12-06,0.0285,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-12-10,0.0585,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-12-11,0.0528,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-12-21,0.0554,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1993-12-21,0.0359,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-01-04,0.0356,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-01-04,0.0205,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-01-05,0.0053,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-01-06,0.0136,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-01-07,0.0539,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-01-13,0.0317,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-01-14,0.0211,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-01-22,0.0135,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-01-23,0.0187,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-01-27,0.0871,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-01-28,0.0221,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-02-09,0.0151,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-02-09,0.0135,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-02-13,0.0437,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-02-14,0.0044,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-02-15,0.0568,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-02-23,0.0512,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-02-24,0.0337,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-03-03,0.069,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-03-09,0.0234,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-03-13,0.0797,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-03-13,0.0539,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-03-15,0.0722,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-03-16,0.0842,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-03-17,0.0086,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-03-19,0.0217,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-03-21,0.051,"PMRC Wet Deposition Hg 1999-2003"
