"bandNum","date","status","age","sex","time","loc","cp","bp","wg","wt","hgBloodID","species","hgID","tissueType","hgLevel","mehgLevel","hgLab"
"135192172",2000-07-17,"1","4","0",940,"MANS",NA,NA,34,21.5,"B00.022","BITH","B00.022","blood",0.014,0.011,"TX"
"135192174",2000-07-20,"1","6","5",1140,"OCTA","0","4",86,24.9,"B00.024","BITH","B00.024","blood",0.042,NA,"ME"
"135192233",2001-06-08,"2","5","5",NA,"MANS","0","0",87.5,27.8,"B01.002","BITH","B01.002","blood",0.0924,0.0625,"TX"
"135192239",2004-06-04,"2","6","4",940,"MANS","3","0",90,25.8,"B04.041","BITH","B04.041","blood",0.116,NA,"TX"
"135192240",2001-07-05,"1","5","4",2140,"MANS","3","0",92.5,NA,"B01.026","BITH","B01.026","blood",NA,NA,"TX"
"135192242",2001-07-06,"1","5","4",1000,"MANS","2","0",91,29,"B01.025","BITH","B01.025","blood",NA,0.121,"TX"
"135192242",2005-06-09,"2","6","4",2200,"MANS","3","0",94.5,30.6,"B05.030","BITH","B05.030","blood",0.0579,NA,"TX"
"135192245",2001-07-17,"1","5","5",750,"MANS","0","4",84.5,26.8,"B01.031","BITH","B01.031","blood",0.101,NA,"TX"
"135192256",2002-06-19,"1","6","5",530,"MANS","0","3",88.5,26.8,"B02.055","BITH","B02.055","blood",0.082,NA,"TX"
"135192273",2003-06-04,"1","5","4",2300,"MANS","2","0",88,25.1,"B03.047","BITH","B03.047","blood",0.154,NA,"TX"
"135192273",2003-07-03,"2","5","4",840,"MANS","3","0",85.5,24.8,"B03.062","BITH","B03.062","blood",0.0769,NA,"TX"
"135192273",2004-06-04,"2","6","4",920,"MANS","3","0",91,NA,"B04.040","BITH","B04.040","blood",0.177,NA,"TX"
"135192274",2003-06-04,"1","6","5",2310,"MANS","0","0",83,26.2,"B03.048","BITH","B03.048","blood",0.079,NA,"TX"
"135192274",2003-07-03,"2","6","5",600,"MANS","0","3",84,26.2,"B03.061","BITH","B03.061","blood",0.0654,NA,"TX"
"135192275",2003-06-04,"1","5","4",2350,"MANS","2","0",86.5,27.3,"B03.050","BITH","B03.050","blood",0.0687,NA,"TX"
"135192275",2003-07-03,"2","5","4",950,"MANS","3","0",86.5,25.8,"B03.063","BITH","B03.063","blood",0.0932,NA,"TX"
"135192289",2003-06-20,"1","5","4",800,"MANS","3","0",89,26.5,"B03.060","BITH","B03.060","blood",0.0768,NA,"TX"
"135192289",2004-06-04,"2","6","4",820,"MANS","3","0",93.5,27.1,"B04.038","BITH","B04.038","blood",0.0826,NA,"TX"
"135192323",2001-06-18,"1","5","4",750,"OCTA","3","0",89,25,"B01.008","BITH","B01.008","blood",0.0991,NA,"TX"
"135192324",2001-06-20,"1","5","4",610,"OCTA","3","0",90,27.5,"B01.009","BITH","B01.009","blood",0.124,0.147,"TX"
"135192325",2001-06-21,"1","5","5",1020,"OCTA","0","2",88.5,30.35,"B01.014","BITH","B01.014","blood",0.0821,0.0845,"TX"
"135192326",2001-06-26,"1","5","5",630,"RABR","0","3",90,29.35,"B01.016","BITH","B01.016","blood",0.0714,0.0917,"TX"
"135192328",2001-06-27,"1","5","4",2100,"RABR","3","0",91,28.5,"B01.012","BITH","B01.012","blood",0.0704,0.0664,"TX"
"135192329",2001-06-29,"1","5","5",800,"RABR","0","3",87,30.35,"B01.013","BITH","B01.013","blood",0.0786,0.0747,"TX"
"135192398",2001-07-10,"1","6","5",1000,"RABR","0","4",91.5,27.5,"B01.027","BITH","B01.027","blood",0.0503,0.0432,"TX"
"141197188",2004-09-01,"1","2","0",630,"MANS","0","0",84.5,25.2,"B04.043","BITH","B04.043","blood",0.0175,NA,"TX"
"141197189",2004-09-01,"1","2","0",630,"MANS","0","0",90,28,"B04.044","BITH","B04.044","blood",0.0149,NA,"TX"
"141197190",2004-09-01,"1","2","0",710,"MANS","0","0",88,25.5,"B04.045","BITH","B04.045","blood",0.0231,NA,"TX"
"144128832",2006-06-13,"1","6","4",840,"MANS","3","0",92.5,27,"B06.012","BITH","B06.012","blood",0.0716,NA,"TX"
"144128836",2006-07-06,"1","5","4",510,"MANS","2","0",91,24.5,"B06.013","BITH","B06.013","blood",0.0377,NA,"TX"
"147147917",2000-06-07,"2","6","4",1200,"RABR","2","0",93.5,28.6,"B00.053","BITH","B00.053","blood",NA,NA,"ME"
"147147965",2000-06-07,"2","6","4",2200,"MANS","3","0",93,28.1,"B00.054","BITH","B00.054","blood",0.286,NA,"ME"
"147147971",2000-06-08,"2","6","0",1100,"MANS","0","0",86,26.8,"B00.055","BITH","B00.055","blood",0.095,NA,"ME"
"147147973",2001-06-05,"2","6","4",2130,"OCTA","3","0",96,NA,"B01.032","BITH","B01.032","blood",0.0427,0.0406,"TX"
"153148030",2000-06-08,"2","6","4",1000,"MANS","2","0",89.5,27.8,"B00.056","BITH","B00.056","blood",0.103,0.103,"TX"
"153148030",2001-07-03,"2","6","4",1020,"MANS","3","0",89.5,29.1,"B01.021","BITH","B01.021","blood",0.0807,0.116,"TX"
"153148030",2003-06-05,"2","6","4",950,"MANS","3","0",90.5,25.6,"B03.053","BITH","B03.053","blood",0.0913,NA,"TX"
"153148032",2001-07-03,"2","6","4",1940,"FORE","3","0",98.5,30,"B01.017","BITH","B01.017","blood",0.0752,0.0655,"TX"
"153148061",2000-06-07,"1","5","5",2200,"MANS","0","0",83.5,24.8,"B00.031","BITH","B00.031","blood",0.088,NA,"ME"
"153148065",2000-06-20,"1","5","4",840,"MANS","3","0",91,26,"B00.035","BITH","B00.035","blood",0.155,NA,"ME"
"153148065",2001-06-27,"2","6","4",2040,"FORE","3","0",95.5,27.5,"B01.018","BITH","B01.018","blood",0.085,0.129,"TX"
"157105373",2006-06-19,"1","5","5",NA,"MANS","0","3",88,28.6,"B06.325","BITH","B06.325","blood",0.0653,NA,"TX"
