"bandNum","date","status","age","sex","time","loc","cp","bp","wg","wt","hgBloodID","species","hgID","tissueType","hgLevel","mehgLevel","hgLab"
"234124242",2014-09-17,"1","2","0",650,"MANS",NA,NA,94.5,28,"2014.04","BITH","2014.04","blood",0.0563050079345703,NA,"BRI"
"234124244",2014-09-17,"1","2","0",730,"MANS",NA,NA,89,27.2,"2014.039","BITH","2014.039","blood",0.044875904083252,NA,"BRI"
"234124245",2014-09-17,"1","2","0",750,"MANS",NA,NA,90.5,29.4,"2014.034","BITH","2014.034","blood",0.019591423034668,NA,"BRI"
"234124247",2014-09-17,"1","2","0",840,"MANS",NA,NA,87,27,"2014.037","BITH","2014.037","blood",0.0222891788482666,NA,"BRI"
"234124250",2014-09-17,"1","2","0",1030,"MANS",NA,NA,85,27.1,"2014.038","BITH","2014.038","blood",0.0269769439697266,NA,"BRI"
"234124254",2015-06-03,"1","6","5",2000,"MANS","0","0",86.5,24.4,"2015.077","BITH","2015.077","blood",0.0678754653930664,NA,"BRI"
"234124254",2015-06-30,"2","6","5",750,"MANS","0","3",90,24.3,"2015.006","BITH","2015.006","blood",0.0897727279663086,NA,"BRI"
"234124254",2015-07-20,"2","6","5",2100,"MANS","0","4",90.5,26.2,"2015.034","BITH","2015.034","blood",0.0458291664123535,NA,"BRI"
"234124254",2015-09-16,"2","6","5",850,"MANS",NA,NA,92,24.6,"2015.072","BITH","2015.072","blood",0.0218782691955566,NA,"BRI"
"234124256",2015-06-03,"1","5","4",2110,"MANS","2","0",89,27.1,"2015.04","BITH","2015.04","blood",0.151186218261719,NA,"BRI"
"234124256",2015-06-12,"2","5","4",1020,"MANS","3","0",88.5,26.6,"2015.019","BITH","2015.019","blood",0.0146536264419556,NA,"BRI"
"234124256",2015-06-24,"2","5","4",610,"MANS","3","0",88.5,27.8,"2015.001","BITH","2015.001","blood",0.0791712417602539,NA,"BRI"
"234124256",2015-06-29,"2","5","4",750,"MANS","2","0",88.5,28,"2015.004","BITH","2015.004","blood",0.111441596984863,NA,"BRI"
"234124256",2016-06-14,"2","6","4",2140,"MANS","3","0",90,29.9,"2016.072","BITH","2016.072","blood",0.10170841217041,NA,"BRI"
"234124256",2016-06-29,"2","6","4",2030,"MANS","3","0",89.5,28.7,"2016.046","BITH","2016.046","blood",0.083218620300293,NA,"BRI"
"234124256",2017-07-26,"2","6","4",830,"MANS","1","0",91,27.7,"2017.05","BITH","2017.05","blood",0.0677161178588867,NA,"BRI"
"234124257",2015-06-04,"1","5","4",540,"MANS","2","0",89,25.6,"2015.047","BITH","2015.047","blood",0.0666764068603516,NA,"BRI"
"234124257",2015-09-16,"2","5","4",910,"MANS",NA,NA,90,26.6,"2015.071","BITH","2015.071","blood",0.0295379333496094,NA,"BRI"
"234124258",2015-06-04,"1","5","4",650,"MANS","2","0",88.5,25.3,"2015.049","BITH","2015.049","blood",0.0925238265991211,NA,"BRI"
"234124258",2015-06-29,"2","5","4",750,"MANS","3","0",88.5,26.9,"2015.026","BITH","2015.026","blood",0.0933808059692383,NA,"BRI"
"234124258",2015-07-15,"2","5","4",NA,"MANS","2","0",89.5,25.7,"2015.061","BITH","2015.061","blood",0.0676000518798828,NA,"BRI"
"234124260",2015-06-12,"2","6","4",1010,"MANS","3","0",88.5,25.7,"2015.013","BITH","2015.013","blood",0.09504150390625,NA,"BRI"
"234124269",2015-06-04,"1","6","4",1210,"MANS","2","0",94.4,27.8,"2015.048","BITH","2015.048","blood",0.133033172607422,NA,"BRI"
"234124269",2015-06-12,"2","6","4",640,"MANS","3","0",96,27.6,"2015.014","BITH","2015.014","blood",0.15253157043457,NA,"BRI"
"234124273",2015-06-12,"1","5","4",740,"MANS","3","0",92,28.3,"2015.018","BITH","2015.018","blood",0.114217163085938,NA,"BRI"
"234124273",2015-06-30,"2","5","4",600,"MANS","2","0",91,28.9,"2015.029","BITH","2015.029","blood",0.0846277313232422,NA,"BRI"
"234124273",2015-07-21,"2","5","4",1130,"MANS","1","0",92.5,28.2,"2015.038","BITH","2015.038","blood",0.0433204193115234,NA,"BRI"
"234124280",2015-06-12,"1","5","0",1020,"MANS","0","0",82.5,28,"2015.02","BITH","2015.02","blood",0.0845196914672852,NA,"BRI"
"234124289",2015-06-24,"1","5","5",700,"MANS","0","3",84,29.1,"2015.002","BITH","2015.002","blood",0.00606287145614624,NA,"BRI"
"234124294",2015-06-30,"1","5","5",840,"MANS","0","4",87,29.4,"2015.028","BITH","2015.028","blood",0.121251617431641,NA,"BRI"
"234124296",2015-07-06,"1","5","4",2200,"MANS","3","0",87.5,27.2,"2015.05","BITH","2015.05","blood",0.0618463706970215,NA,"BRI"
"234124297",2015-07-06,"1","5","4",2200,"MANS","2","0",88,26.9,"2015.051","BITH","2015.051","blood",0.0848979339599609,NA,"BRI"
"234124298",2016-05-31,"2","6","5",1040,"MANS","0","0",89.5,29.8,"2016.057","BITH","2016.057","blood",0.130123321533203,NA,"BRI"
"234124300",2015-07-07,"1","5","4",1140,"MANS","2","0",92,29.4,"2015.057","BITH","2015.057","blood",0.0973251190185547,NA,"BRI"
"234124301",2015-07-07,"1","5","0",1200,"MANS","0","0",85,NA,"2015.054","BITH","2015.054","blood",0.110486450195313,NA,"BRI"
"234124303",2015-07-14,"1","5","4",2200,"MANS","1","0",88.5,NA,"2015.06","BITH","2015.06","blood",0.0567825355529785,NA,"BRI"
"234124303",2016-06-01,"2","6","4",550,"MANS","1","0",93.5,26.4,"2016.059","BITH","2016.059","blood",0.100842277526855,NA,"BRI"
"234124303",2017-06-21,"2","6","4",2000,"MANS","2","0",90.5,28.9,"2017.18","BITH","2017.18","blood",0.0761658782958984,NA,"BRI"
"234124303",2017-07-18,"2","6","4",1920,"MANS","2","0",91,27.1,"2017.17","BITH","2017.17","blood",0.0656351470947266,NA,"BRI"
"234124303",2017-08-02,"2","6","4",600,"MANS","1","0",91,28.3,"2017.33","BITH","2017.33","blood",0.0529166564941406,NA,"BRI"
"234124306",2015-07-20,"1","5","4",2050,"MANS","2","0",90.5,26,"2015.033","BITH","2015.033","blood",0.0637776412963867,NA,"BRI"
"234124308",2015-07-20,"1","4","0",2130,"MANS",NA,NA,80.5,26.7,"2015.032","BITH","2015.032","blood",0.0287705001831055,NA,"BRI"
"234124315",2015-09-15,"1","2","0",2100,"MANS",NA,NA,84,26.7,"2015.067","BITH","2015.067","blood",0.012071081161499,NA,"BRI"
"234124316",2015-09-15,"1","2","0",2100,"MANS",NA,NA,88,NA,"2015.066","BITH","2015.066","blood",0.0280040245056152,NA,"BRI"
"234124317",2015-09-16,"1","2","0",710,"MANS",NA,NA,91,28.5,"2015.074","BITH","2015.074","blood",0.0322141761779785,NA,"BRI"
"234124318",2015-09-16,"1","1","0",820,"MANS",NA,NA,89,28.7,"2015.068","BITH","2015.068","blood",0.032259162902832,NA,"BRI"
"234124320",2016-06-29,"2","5","4",2030,"MANS","3","0",90,29.4,"2016.043","BITH","2016.043","blood",0.0853863677978516,NA,"BRI"
"234124320",2016-07-06,"2","5","4",2010,"MANS","2","0",88,29.2,"2016.034","BITH","2016.034","blood",0.0653034439086914,NA,"BRI"
"234124321",2017-06-22,"2","6","4",800,"MANS","3","0",92.5,26,"2017.09","BITH","2017.09","blood",0.10943775177002,NA,"BRI"
"234124321",2017-07-12,"2","6","4",730,"MANS","1","0",94,24.5,"2017.3","BITH","2017.3","blood",0.0733119659423828,NA,"BRI"
"234124325",2015-09-16,"1","1","0",1210,"MANS",NA,NA,90,28.7,"2015.073","BITH","2015.073","blood",0.0396005783081055,NA,"BRI"
"234124326",2015-09-16,"1","2","0",1220,"MANS",NA,NA,90,28,"2015.081","BITH","2015.081","blood",0.0302102489471436,NA,"BRI"
"234124332",2016-05-31,"1","6","4",1950,"MANS","3","0",91,28.2,"2016.06","BITH","2016.06","blood",0.203245849609375,NA,"BRI"
"234124332",2016-06-01,"2","6","4",940,"MANS","3","0",91.5,27.9,"2016.065","BITH","2016.065","blood",0.147752319335937,NA,"BRI"
"234124332",2016-07-06,"2","6","4",2130,"MANS","3","0",90.5,26.8,"2016.036","BITH","2016.036","blood",0.0676969451904297,NA,"BRI"
"234124332",2016-07-14,"2","6","4",810,"MANS","1","0",91,24.8,"2016.024","BITH","2016.024","blood",0.0597397727966309,NA,"BRI"
"234124332",2017-06-22,"2","6","4",545,"MANS","3","0",92,26.4,"2017.1","BITH","2017.1","blood",0.113986694335937,NA,"BRI"
"234124332",2017-07-07,"2","6","4",830,"MANS","2","0",92,25,"2017.36","BITH","2017.36","blood",0.104160461425781,NA,"BRI"
"234124333",2016-06-15,"2","5","5",440,"MANS","0","3",84,27.6,"2016.077","BITH","2016.077","blood",0.0442615623474121,NA,"BRI"
"234124333",2016-06-30,"2","5","5",600,"MANS","0","4",83,25.5,"2016.052","BITH","2016.052","blood",0.0484388465881348,NA,"BRI"
"234124333",2017-07-12,"2","6","5",530,"MANS","0","4",87,24.1,"2017.34","BITH","2017.34","blood",0.0750336380004883,NA,"BRI"
"234124341",2016-06-01,"1","5","4",750,"MANS","1","0",88.5,24.6,"2016.068","BITH","2016.068","blood",0.0691964950561523,NA,"BRI"
"234124341",2016-06-30,"2","5","4",1020,"MANS","3","0",89,25,"2016.053","BITH","2016.053","blood",0.0536306648254395,NA,"BRI"
"234124345",2016-06-14,"1","5","4",2020,"MANS","3","0",92.5,28.5,"2016.074","BITH","2016.074","blood",0.0691567230224609,NA,"BRI"
"234124345",2016-06-22,"2","5","4",2030,"MANS","3","0",92,27.9,"2016.082","BITH","2016.082","blood",0.0727168579101563,NA,"BRI"
"234124345",2016-06-29,"2","5","4",2130,"MANS","3","0",90,28.1,"2016.045","BITH","2016.045","blood",0.0645841369628906,NA,"BRI"
"234124370",2016-06-23,"1","5","4",1010,"MANS","3","0",91.5,27.1,"2016.086","BITH","2016.086","blood",0.104272338867187,NA,"BRI"
"234124373",2016-06-30,"1","5","5",600,"MANS","0","3",86,27.3,"2016.048","BITH","2016.048","blood",0.0672696990966797,NA,"BRI"
"234124373",2016-07-13,"2","5","5",2110,"MANS","0","4",85.5,25.3,"2016.017","BITH","2016.017","blood",0.0675562438964844,NA,"BRI"
"234124387",2016-07-07,"1","5","4",620,"MANS","3","0",87,25.5,"2016.038","BITH","2016.038","blood",0.077689323425293,NA,"BRI"
"234124387",2017-06-02,"2","6","4",524,"MANS","2","0",89.5,25.4,"2017.29","BITH","2017.29","blood",0.133059783935547,NA,"BRI"
"234124387",2017-07-12,"2","6","4",755,"MANS","3","0",90.5,26.5,"2017.41","BITH","2017.41","blood",0.0898298263549805,NA,"BRI"
"234124387",2017-07-26,"2","6","4",519,"MANS","1","0",91,24.5,"2017.02","BITH","2017.02","blood",0.0625086860656738,NA,"BRI"
"234124388",2016-07-07,"1","5","4",640,"MANS","2","0",88,25.5,"2016.035","BITH","2016.035","blood",0.101992340087891,NA,"BRI"
"234124390",2016-07-07,"1","5","4",1040,"MANS","2","0",86,27.7,"2016.037","BITH","2016.037","blood",0.0862053070068359,NA,"BRI"
"234124394",2016-07-13,"1","5","5",2030,"MANS","0","4",85,27.5,"2016.016","BITH","2016.016","blood",0.042963321685791,NA,"BRI"
"234124394",2016-07-21,"2","5","5",640,"MANS","0","4",86,26.7,"2016.094","BITH","2016.094","blood",0.0356142997741699,NA,"BRI"
"234124394",2017-07-07,"2","6","5",550,"MANS","0","4",90.5,25.9,"2017.37","BITH","2017.37","blood",0.0778198394775391,NA,"BRI"
"234124394",2017-07-18,"2","6","5",2015,"MANS","0","4",89,24.9,"2017.42","BITH","2017.42","blood",0.074350341796875,NA,"BRI"
"234124395",2016-07-13,"1","4","0",2110,"MANS",NA,NA,87,30.2,"2016.015","BITH","2016.015","blood",0.0195680484771729,NA,"BRI"
"234124396",2016-07-14,"1","5","4",540,"MANS","2","0",88,27.6,"2016.022","BITH","2016.022","blood",0.0535594673156738,NA,"BRI"
"234124397",2016-07-14,"1","4","0",540,"MANS",NA,NA,86,28.9,"2016.02","BITH","2016.02","blood",0.0205452098846436,NA,"BRI"
"234124398",2016-07-14,"1","5","4",600,"MANS","1","0",90,27.1,"2016.023","BITH","2016.023","blood",0.0434197845458984,NA,"BRI"
"234124502",2016-07-20,"1","4","0",1920,"MANS","0","0",87,28.3,"2016.091","BITH","2016.091","blood",0.0217490139007568,NA,"BRI"
"234124504",2016-07-20,"1","5","5",2030,"MANS","0","4",84,27.3,"2016.092","BITH","2016.092","blood",0.0232045192718506,NA,"BRI"
"234124504",2017-07-07,"2","6","5",955,"MANS","0","4",88,26.5,"2017.38","BITH","2017.38","blood",0.0417445983886719,NA,"BRI"
"234124507",2016-07-21,"1","4","0",640,"MANS",NA,NA,87,25.7,"2016.013","BITH","2016.013","blood",0.0228559551239014,NA,"BRI"
"234124512",2016-07-27,"1","4","0",1940,"MANS",NA,NA,95,28.3,"2016.004","BITH","2016.004","blood",0.0289219589233398,NA,"BRI"
"234124513",2016-07-27,"1","2","0",2050,"MANS",NA,NA,91,29.5,"2016.001","BITH","2016.001","blood",0.0255948371887207,NA,"BRI"
"234124514",2016-07-27,"1","6","5",2050,"MANS","0","4",86,25.1,"2016.002","BITH","2016.002","blood",0.0285741024017334,NA,"BRI"
"234124516",2016-07-27,"1","2","0",2200,"MANS",NA,NA,88.5,28.3,"2016.003","BITH","2016.003","blood",0.0313788738250732,NA,"BRI"
"234124517",2016-07-27,"1","2","0",2200,"MANS",NA,NA,84,27.6,"2016.099","BITH","2016.099","blood",0.0351394119262695,NA,"BRI"
"234124518",2016-07-28,"1","2","0",540,"MANS",NA,NA,93,31.8,"2016.006","BITH","2016.006","blood",0.0158880844116211,NA,"BRI"
"234124522",2016-07-28,"1","2","0",540,"MANS",NA,NA,86,27.7,"2016.007","BITH","2016.007","blood",0.0176042823791504,NA,"BRI"
"234124523",2016-07-28,"1","2","0",550,"MANS",NA,NA,88.5,26.9,"2016.008","BITH","2016.008","blood",0.0214770202636719,NA,"BRI"
"234124524",2016-07-28,"1","2","0",550,"MANS",NA,NA,90,28.1,"2016.097","BITH","2016.097","blood",0.0179360523223877,NA,"BRI"
"234124525",2016-07-28,"1","2","0",550,"MANS",NA,NA,90,27.1,"2016.009","BITH","2016.009","blood",0.0236306438446045,NA,"BRI"
"234124532",2016-09-14,"1","2","0",940,"MANS","0","0",88,27.3,"2016.014","BITH","2016.014","blood",0.0203189830780029,NA,"BRI"
"234124539",2017-06-01,"1","5","0",2100,"MANS","0","0",87,25,"2017.15","BITH","2017.15","blood",0.0781592254638672,NA,"BRI"
"234124539",2017-07-07,"2","5","5",650,"MANS","0","3",87.5,26.7,"2017.16","BITH","2017.16","blood",0.0674931716918945,NA,"BRI"
"234124539",2017-07-12,"2","5","5",1110,"MANS","0","4",87.5,26.2,"2017.24","BITH","2017.24","blood",0.0613487854003906,NA,"BRI"
"234124547",2017-07-19,"2","5","4",535,"MANS","1","0",89,24.7,"2017.28","BITH","2017.28","blood",0.0589601898193359,NA,"BRI"
"234124550",2017-07-12,"2","5","4",515,"MANS","1","0",91,27,"2017.25","BITH","2017.25","blood",0.0640185852050781,NA,"BRI"
"234124550",2017-07-18,"2","5","4",2045,"MANS","1","0",89.5,28,"2017.19","BITH","2017.19","blood",0.0575035591125488,NA,"BRI"
"234124557",2017-07-12,"1","5","5",530,"MANS","0","4",89,26.3,"2017.14","BITH","2017.14","blood",0.0701859893798828,NA,"BRI"
"234124557",2017-07-26,"2","5","5",845,"MANS","0","4",89.5,25.2,"2017.01","BITH","2017.01","blood",0.0755899810791016,NA,"BRI"
"234124560",2017-07-12,"1","5","5",855,"MANS","0","4",90.5,27.7,"2017.26","BITH","2017.26","blood",0.11699609375,NA,"BRI"
"234124565",2017-07-18,"1","5","4",2045,"MANS","1","0",90.5,30.2,"2017.27","BITH","2017.27","blood",0.0499826622009277,NA,"BRI"
"234124567",2017-07-19,"1","5","4",525,"MANS","1","0",94,28.9,"2017.44","BITH","2017.44","blood",0.0317995567321777,NA,"BRI"
"234124571",2017-07-19,"1","2","0",700,"MANS",NA,NA,88,28.5,"2017.35","BITH","2017.35","blood",0.0325658149719238,NA,"BRI"
"234124580",2017-07-26,"1","5","5",736,"MANS","0","5",84,24.4,"2017.04","BITH","2017.04","blood",0.0414918212890625,NA,"BRI"
"234124582",2017-07-26,"1","5","5",1025,"MANS","0","4",90,24.5,"2017.03","BITH","2017.03","blood",0.0591739540100098,NA,"BRI"
"234124585",2017-08-01,"1","2","0",2045,"MANS",NA,NA,88,25.1,"2017.2","BITH","2017.2","blood",0.0548983192443848,NA,"BRI"
"234124586",2017-08-01,"1","2","0",2040,"MANS",NA,NA,90,26.2,"2017.45","BITH","2017.45","blood",0.0377733345031738,NA,"BRI"
"234124590",2017-08-02,"1","2","0",700,"MANS",NA,NA,93,28.1,"2017.21","BITH","2017.21","blood",0.0568938446044922,NA,"BRI"
"234124592",2017-08-02,"1","2","0",900,"MANS",NA,NA,88,27,"2017.32","BITH","2017.32","blood",0.0667561721801758,NA,"BRI"
"234124595",2017-08-02,"1","2","0",1130,"MANS",NA,NA,89.5,26.1,"2017.31","BITH","2017.31","blood",0.064917839050293,NA,"BRI"
"234176780",2015-06-12,"2","6","4",630,"MANS","2","0",93.5,27.9,"2015.008","BITH","2015.008","blood",0.128604278564453,NA,"BRI"
"193176734",2015-06-04,"2","6","4",1000,"MANS",NA,NA,100.5,28,"2015.044","SWTH","2015.044","blood",0.10998282623291,NA,"BRI"
"193176735",2014-06-17,"2","5","5",630,"MANS","0","3",94,29.1,"2014.003","SWTH","2014.003","blood",0.119179206848145,NA,"BRI"
"193176758",2014-06-16,"1","1","4",1800,"MANS","2","0",100,29.5,"2014.01","SWTH","2014.01","blood",0.112064964294434,NA,"BRI"
"193176759",2014-06-16,"1","6","4",1940,"MANS","3","0",95,29.6,"2014.011","SWTH","2014.011","blood",0.0686922760009766,NA,"BRI"
"193176765",2015-06-03,"2","6","4",1930,"MANS","2","0",100.5,30.5,"2015.078","SWTH","2015.078","blood",0.091981803894043,NA,"BRI"
"193176773",2014-06-27,"1","5","4",930,"MANS","3","0",99.5,29.4,"2014.016","SWTH","2014.016","blood",0.093299560546875,NA,"BRI"
"193176777",2014-07-08,"1","1","4",520,"MANS","3","0",96.5,28.5,"2014.018","SWTH","2014.018","blood",0.069705436706543,NA,"BRI"
"193176778",2014-07-08,"1","5","4",520,"MANS","2","0",97,25.9,"2014.019","SWTH","2014.019","blood",0.0707162094116211,NA,"BRI"
"234124252",2015-06-03,"1","6","4",1930,"MANS","1","0",97,31.4,"2015.079","SWTH","2015.079","blood",0.0697692260742187,NA,"BRI"
"234124252",2015-06-12,"2","6","4",850,"MANS","2","0",96.5,28.9,"2015.017","SWTH","2015.017","blood",0.0852305221557617,NA,"BRI"
"234124252",2015-06-24,"2","6","4",730,"MANS","2","0",98,30.7,"2015.024","SWTH","2015.024","blood",0.113412078857422,NA,"BRI"
"234124252",2015-07-14,"2","6","4",2100,"MANS","1","0",NA,NA,"2015.059","SWTH","2015.059","blood",0.0696082305908203,NA,"BRI"
"234124252",2016-07-06,"2","6","4",2030,"MANS","3","0",98,29.9,"2016.03","SWTH","2016.03","blood",0.0792708435058594,NA,"BRI"
"234124253",2015-06-03,"1","6","0",2000,"MANS","0","0",91,29.7,"2015.075","SWTH","2015.075","blood",0.0774964828491211,NA,"BRI"
"234124259",2015-06-04,"1","6","4",710,"MANS","2","0",100,28.4,"2015.045","SWTH","2015.045","blood",0.101322639465332,NA,"BRI"
"234124262",2015-06-04,"1","6","4",830,"MANS","2","0",101,NA,"2015.042","SWTH","2015.042","blood",0.0954142303466797,NA,"BRI"
"234124264",2015-06-04,"1","6","4",830,"MANS","2","0",97,29.1,"2015.043","SWTH","2015.043","blood",0.0850946044921875,NA,"BRI"
"234124270",2015-06-11,"1","6","5",1910,"MANS","0","2",93.5,28.5,"2015.007","SWTH","2015.007","blood",0.0887856903076172,NA,"BRI"
"234124271",2015-06-12,"1","5","4",500,"MANS","3","0",96,27.3,"2015.012","SWTH","2015.012","blood",0.0770811920166016,NA,"BRI"
"234124271",2015-07-15,"2","5","4",900,"MANS","1","0",95,28.3,"2015.062","SWTH","2015.062","blood",0.045463077545166,NA,"BRI"
"234124271",2015-07-21,"2","5","4",610,"MANS","1","0",93.5,27.2,"2015.036","SWTH","2015.036","blood",0.0388847808837891,NA,"BRI"
"234124271",2016-06-01,"2","6","4",710,"MANS","1","0",94.5,26.7,"2016.069","SWTH","2016.069","blood",0.0888377532958984,NA,"BRI"
"234124271",2016-06-15,"2","6","4",740,"MANS","3","0",94.5,26.9,"2016.079","SWTH","2016.079","blood",0.070971565246582,NA,"BRI"
"234124271",2016-06-30,"2","6","4",510,"MANS","3","0",93.5,27.6,"2016.049","SWTH","2016.049","blood",0.0462941741943359,NA,"BRI"
"234124271",2016-07-14,"2","6","4",910,"MANS","2","0",93.3,28.2,"2016.019","SWTH","2016.019","blood",0.0550919189453125,NA,"BRI"
"234124282",2015-06-16,"1","5","4",1910,"MANS","1","2",95,27.3,"2015.022","SWTH","2015.022","blood",0.0854311065673828,NA,"BRI"
"234124288",2015-06-24,"1","5","4",600,"MANS","2","0",101.5,68,"2015.003","SWTH","2015.003","blood",0.114756362915039,NA,"BRI"
"234124307",2015-07-20,"1","5","4",2130,"MANS","1","0",97,29,"2015.064","SWTH","2015.064","blood",0.0663722991943359,NA,"BRI"
"234124331",2016-05-31,"1","5","4",1940,"MANS","2","0",95.5,30.8,"2016.056","SWTH","2016.056","blood",0.0974213104248047,NA,"BRI"
"234124331",2016-06-15,"2","5","4",620,"MANS","3","0",95.5,28.8,"2016.081","SWTH","2016.081","blood",0.0826458892822266,NA,"BRI"
"234124331",2016-07-07,"2","5","4",1230,"MANS","2","0",95,30.6,"2016.041","SWTH","2016.041","blood",0.076926399230957,NA,"BRI"
"234124334",2016-05-31,"1","5","0",850,"MANS","0","0",90,30.5,"2016.058","SWTH","2016.058","blood",0.0641241149902344,NA,"BRI"
"234124334",2016-06-14,"2","5","5",2140,"MANS","0","1",89.5,30.7,"2016.073","SWTH","2016.073","blood",0.0689631271362305,NA,"BRI"
"234124334",2016-07-07,"2","5","5",800,"MANS","0","3",89.5,29.3,"2016.039","SWTH","2016.039","blood",0.080270378112793,NA,"BRI"
"234124335",2016-05-31,"1","1","5",1030,"MANS","0","0",92,30.8,"2016.061","SWTH","2016.061","blood",0.0958532638549805,NA,"BRI"
"234124335",2016-06-15,"2","1","5",440,"MANS",NA,NA,94,27.6,"2016.078","SWTH","2016.078","blood",0.0930295486450195,NA,"BRI"
"234124335",2016-06-30,"2","1","5",940,"MANS","0","3",93,28.5,"2016.05","SWTH","2016.05","blood",0.153996124267578,NA,"BRI"
"234124335",2016-07-14,"2","1","5",840,"MANS","0","4",NA,25.7,"2016.021","SWTH","2016.021","blood",0.126521583557129,NA,"BRI"
"234124339",2016-06-01,"1","5","4",730,"MANS","1","0",91.5,26.7,"2016.064","SWTH","2016.064","blood",0.126639846801758,NA,"BRI"
"234124339",2016-07-14,"2","5","4",710,"MANS","2","0",93,27.3,"2016.027","SWTH","2016.027","blood",0.0795913162231445,NA,"BRI"
"234124340",2016-06-01,"1","6","4",730,"MANS","2","0",100.5,29.3,"2016.067","SWTH","2016.067","blood",0.106750625610352,NA,"BRI"
"234124340",2016-07-07,"2","6","4",650,"MANS","3","0",100,30.7,"2016.04","SWTH","2016.04","blood",0.103740692138672,NA,"BRI"
"234124342",2016-07-06,"2","5","4",2130,"MANS","3","0",94,31.5,"2016.032","SWTH","2016.032","blood",0.0826327438354492,NA,"BRI"
"234124344",2016-06-01,"1","5","4",1030,"MANS","2","0",94,29.3,"2016.066","SWTH","2016.066","blood",0.0874083480834961,NA,"BRI"
"234124344",2016-07-14,"2","5","4",700,"MANS","2","0",92,29.4,"2016.025","SWTH","2016.025","blood",0.0551416397094727,NA,"BRI"
"234124347",2016-07-07,"2","5","4",720,"MANS","3","0",96,27.2,"2016.042","SWTH","2016.042","blood",0.130292633056641,NA,"BRI"
"234124355",2016-06-15,"1","5","4",950,"MANS","3","0",103,29.5,"2016.08","SWTH","2016.08","blood",0.089831672668457,NA,"BRI"
"234124361",2016-06-23,"1","5","4",800,"MANS","3","0",100,28.2,"2016.084","SWTH","2016.084","blood",0.111894920349121,NA,"BRI"
"234124369",2016-06-23,"1","1","4",1010,"MANS","3","0",94,28.7,"2016.085","SWTH","2016.085","blood",0.119656097412109,NA,"BRI"
"234124369",2016-07-07,"2","1","4",820,"MANS","3","0",94.5,29.2,"2016.033","SWTH","2016.033","blood",0.0981985702514648,NA,"BRI"
"234124371",2016-06-29,"1","5","4",2130,"MANS","3","0",94.5,30.5,"2016.044","SWTH","2016.044","blood",0.0777361145019531,NA,"BRI"
"234124381",2016-06-30,"1","5","4",1000,"MANS","2","0",96.5,29,"2016.047","SWTH","2016.047","blood",0.0858968734741211,NA,"BRI"
"234124382",2016-07-06,"1","6","5",1910,"MANS","0","3",93.5,31.4,"2016.029","SWTH","2016.029","blood",0.0955475006103516,NA,"BRI"
"234124382",2016-07-20,"2","6","5",1920,"MANS","0","4",93,27.5,"2016.09","SWTH","2016.09","blood",0.0713404846191406,NA,"BRI"
"234124391",2016-07-07,"1","5","4",1050,"MANS","2","0",98,27.4,"2016.028","SWTH","2016.028","blood",0.108767448425293,NA,"BRI"
"234124501",2016-07-14,"1","5","4",800,"MANS","2","0",94,29.4,"2016.018","SWTH","2016.018","blood",0.0999379425048828,NA,"BRI"
"234124510",2016-07-21,"1","6","4",850,"MANS","2","0",95,28.1,"2016.012","SWTH","2016.012","blood",0.0825532073974609,NA,"BRI"
"234124530",2016-07-28,"1","5","4",1000,"MANS","1",NA,96,30,"2016.01","SWTH","2016.01","blood",0.0460282897949219,NA,"BRI"
