SITEID,DATEON,DATEOFF,RGPPT,SVOL,SUBPPT,HGCONC,HGDEP ng/g,HgDep ug/g,SAMPLETYPE,QR,NOTES,YRMONTH,DATEMOD
VT99,11/2/05,11/7/05,8.89,105.3,8.89,3.97,35.29,0.03529,W,A,,200511,8/31/06
VT99,11/7/05,11/11/05,10.67,138.2,10.67,3.34,35.63,0.03563,W,A,,200511,8/31/06
VT99,11/11/05,11/16/05,18.8,224.7,18.8,2.6,48.87,0.04887,W,B,h,200511,8/31/06
VT99,11/16/05,11/17/05,23.62,288.9,23.62,2.15,50.79,0.05079,W,A,,200511,8/31/06
VT99,11/17/05,11/21/05,1.52,13.4,1.52,0.93,1.42,0.00142,W,A,,200511,8/31/06
VT99,11/21/05,11/27/05,35.81,173,35.81,3.04,108.87,0.10887,W,B,z,200511,8/31/06
VT99,11/27/05,12/1/05,-9,410.3,34.19,8.18,279.67,0.27967,W,B,m,200512,8/31/06
VT99,12/1/05,12/3/05,7.11,54.3,7.11,3.67,26.1,0.0261,W,B,z,200512,8/31/06
VT99,12/3/05,12/8/05,1.78,15,1.78,1.64,2.92,0.00292,W,A,,200512,5/22/06
VT99,12/8/05,12/10/05,5.08,25.1,5.08,2.16,10.97,0.01097,W,B,m,200512,8/31/06
VT99,12/10/05,12/14/05,-9,13.2,1.1,11.06,12.17,0.01217,W,B,mz,200512,8/31/06
VT99,12/14/05,12/19/05,29.21,199.6,29.21,2.25,65.72,0.06572,W,C,zb,200512,8/31/06
VT99,12/19/05,12/21/05,-9,32.2,2.68,5.22,14.01,0.01401,W,C,mzb,200512,8/31/06
VT99,12/21/05,12/24/05,7.62,73.5,7.62,12.77,97.31,0.09731,W,A,,200512,8/31/06
VT99,12/24/05,12/26/05,-9,170.2,14.18,2.31,32.76,0.03276,W,B,m,200512,8/31/06
VT99,12/26/05,12/28/05,7.11,63.1,7.11,1.21,8.61,0.00861,W,A,,200512,8/31/06
VT99,12/28/05,1/3/06,20.32,214,20.32,4.66,94.79,0.09479,W,C,mu,200512,12/20/06
VT99,1/4/06,1/6/06,9.4,64.9,9.4,3.98,37.4,0.0374,W,A,,200601,12/20/06
VT99,1/6/06,1/10/06,2.29,14.6,2.29,17.05,38.98,0.03898,W,B,z,200601,12/20/06
VT99,1/10/06,1/13/06,-9,130,10.85,3.84,41.66,0.04166,W,B,m,200601,12/20/06
VT99,1/13/06,1/15/06,19.05,197,19.05,3.33,63.44,0.06344,W,B,m,200601,12/20/06
VT99,1/15/06,1/19/06,-9,496.1,41.41,2.48,102.69,0.10269,W,B,mh,200601,12/20/06
VT99,1/19/06,1/24/06,-9,36.2,3.02,4.32,13.05,0.01305,W,B,m,200601,12/20/06
VT99,1/24/06,1/27/06,9.4,81.7,9.4,2.87,26.97,0.02697,W,A,,200601,12/20/06
VT99,1/27/06,1/31/06,3.05,34.5,3.05,5.98,18.23,0.01823,W,A,,200601,12/20/06
VT99,1/31/06,2/2/06,3.05,20.7,3.05,2.83,8.63,0.00863,W,A,,200602,12/20/06
VT99,2/2/06,2/4/06,16,201.3,16,3.31,52.97,0.05297,W,B,d,200602,12/20/06
VT99,2/4/06,2/6/06,18.29,239.5,18.29,2.64,48.28,0.04828,W,A,,200602,12/20/06
VT99,2/6/06,2/9/06,2.79,13.4,2.79,4.19,11.71,0.01171,W,A,,200602,12/20/06
VT99,2/9/06,2/15/06,2.29,8.4,2.29,5.01,11.45,0.01145,W,B,i,200602,12/20/06
VT99,2/15/06,2/18/06,4.32,41.4,4.32,7.87,33.98,0.03398,W,B,zh,200602,12/20/06
VT99,2/18/06,2/22/06,2.29,8.5,2.29,8.01,18.31,0.01831,W,B,zi,200602,12/20/06
VT99,2/22/06,2/25/06,3.05,14.4,3.05,6.79,20.7,0.0207,W,B,z,200602,12/20/06
VT99,2/25/06,3/3/06,3.05,15.5,3.05,3.09,9.42,0.00942,W,A,,200602,12/20/06
VT99,3/3/06,3/5/06,10.16,90.3,10.16,2.79,28.35,0.02835,W,A,,200603,12/20/06
VT99,3/5/06,3/10/06,4.32,58.8,4.32,14.85,64.12,0.06412,W,A,,200603,12/20/06
VT99,3/10/06,3/13/06,4.57,60,4.57,11.66,53.31,0.05331,W,B,d,200603,12/20/06
VT99,3/13/06,3/14/06,13.72,171.6,13.72,6.23,85.45,0.08545,W,A,,200603,12/20/06
VT99,3/14/06,3/17/06,5.84,33.1,5.84,2.2,12.85,0.01285,W,A,,200603,12/20/06
VT99,3/17/06,3/23/06,4.32,14.3,4.32,4.64,20.04,0.02004,W,A,,200603,12/20/06
VT99,3/23/06,3/30/06,0,4.2,0,-9,0,0,D,B,i,200603,12/20/06
VT99,3/30/06,4/3/06,16.76,203.5,16.76,5.32,89.18,0.08918,W,A,,200604,6/20/07
VT99,4/3/06,4/5/06,36.07,380.3,36.07,3.32,119.75,0.11975,W,B,h,200604,6/20/07
VT99,4/5/06,4/9/06,8.13,100.7,8.13,5.77,46.9,0.0469,W,B,h,200604,6/20/07
VT99,4/9/06,4/17/06,13.97,150.5,13.97,6.09,85.08,0.08508,W,A,,200604,6/20/07
VT99,4/17/06,4/24/06,10.41,81.1,10.41,6.94,72.27,0.07227,W,B,d,200604,6/20/07
VT99,4/24/06,4/26/06,10.16,125.7,10.16,3.19,32.41,0.03241,W,A,,200604,6/20/07
VT99,4/26/06,5/3/06,13.46,165.6,13.46,7.93,106.75,0.10675,W,B,h,200604,6/20/07
VT99,5/3/06,5/8/06,13.46,154.8,13.46,6.62,89.12,0.08912,W,C,dzu,200605,6/20/07
VT99,5/8/06,5/14/06,20.83,267.1,20.83,5.26,109.56,0.10956,W,A,,200605,6/20/07
VT99,5/14/06,5/17/06,23.62,297.9,23.62,6.16,145.51,0.14551,W,A,,200605,6/20/07
VT99,5/17/06,5/19/06,25.4,303.9,25.4,6.09,154.69,0.15469,W,A,,200605,6/20/07
VT99,5/19/06,5/20/06,71.12,854.8,71.12,2.8,199.14,0.19914,W,B,h,200605,6/20/07
VT99,5/20/06,5/22/06,37.59,455.8,37.59,2.38,89.47,0.08947,W,B,h,200605,6/20/07
VT99,5/22/06,5/24/06,9.65,77.6,9.65,4.78,46.14,0.04614,W,B,m,200605,6/20/07
VT99,5/24/06,5/28/06,3.3,25.6,3.3,19.68,64.98,0.06498,W,B,m,200605,6/20/07
VT99,5/28/06,6/1/06,5.08,65.3,5.08,30.55,155.19,0.15519,W,A,,200605,6/20/07
VT99,6/1/06,6/5/06,25.4,310,25.4,5.89,149.61,0.14961,W,A,,200606,6/20/07
VT99,6/5/06,6/8/06,2.79,24.6,2.79,18.77,52.44,0.05244,W,A,,200606,6/20/07
VT99,6/8/06,6/10/06,45.72,497.6,45.72,1.86,85.04,0.08504,W,A,,200606,6/20/07
VT99,6/10/06,6/12/06,44.45,517.9,44.45,2.17,96.46,0.09646,W,B,h,200606,6/20/07
VT99,6/12/06,6/20/06,15.75,189.3,15.75,7.93,124.88,0.12488,W,A,,200606,6/20/07
VT99,6/20/06,6/21/06,31.24,394.4,31.24,6.77,211.51,0.21151,W,B,m,200606,6/20/07
VT99,6/21/06,6/27/06,57.15,705.7,57.15,3.52,201.17,0.20117,W,B,m,200606,6/20/07
VT99,6/27/06,6/30/06,19.05,248,19.05,18.34,349.38,0.34938,W,A,,200606,6/20/07
VT99,6/30/06,7/3/06,17.27,236.1,17.27,18.16,313.66,0.31366,W,A,,200607,6/20/07
VT99,7/3/06,7/5/06,29.21,87.7,29.21,15.26,445.74,0.44574,W,C,f,200607,6/20/07
VT99,7/5/06,7/12/06,1.02,12.7,1.02,7.67,7.79,0.00779,W,A,,200607,6/20/07
VT99,7/12/06,7/13/06,29.21,362.1,29.21,3.67,107.2,0.1072,W,A,,200607,6/20/07
VT99,7/13/06,7/19/06,2.29,7.1,2.29,97.15,222.08,0.22208,W,B,i,200607,6/20/07
VT99,7/19/06,7/24/06,33.53,361.9,33.53,7.68,257.5,0.2575,W,A,,200607,6/20/07
VT99,7/24/06,7/30/06,9.65,137.5,9.65,15.52,149.8,0.1498,W,A,,200607,6/20/07
VT99,7/30/06,8/1/06,10.67,129.9,10.67,11.16,119.05,0.11905,W,A,,200607,6/20/07
