SITEID,DATEON,DATEOFF,RGPPT,SVOL,SUBPPT,HGCONC,HGDEP ng/g,HgDep ug/g,SAMPLETYPE,QR,NOTES,YRMONTH,DATEMOD
VT99,10/20/15,10/27/15,10.41,104.2,10.41,16.25,169.23,0.16923,W,B,dm,201510,8/25/16
VT99,10/27/15,11/3/15,48.77,510,48.77,2.77,135.09,0.13509,W,B,d,201510,8/25/16
VT99,11/3/15,11/10/15,3.81,42.6,3.81,4.54,17.3,0.0173,W,B,d,201511,8/25/16
VT99,11/10/15,11/17/15,39.62,439.5,39.62,2.02,80.04,0.08004,W,B,d,201511,8/25/16
VT99,11/17/15,11/24/15,13.46,152.4,13.46,2.27,30.56,0.03056,W,B,d,201511,8/25/16
VT99,11/24/15,12/1/15,7.11,70.5,7.11,5.66,40.25,0.04025,W,B,d,201511,8/25/16
VT99,12/1/15,12/8/15,46.23,455.9,46.23,2.57,118.81,0.11881,W,B,d,201512,8/25/16
VT99,12/8/15,12/15/15,9.4,108.6,9.4,2.86,26.88,0.02688,W,B,d,201512,8/22/16
VT99,12/15/15,12/22/15,19.05,185.7,19.05,2.84,54.1,0.0541,W,B,d,201512,8/25/16
VT99,12/22/15,12/29/15,61.98,537.1,61.98,2.87,177.87,0.17787,W,B,dz,201512,9/5/16
VT99,12/29/15,1/5/16,17.78,84.7,17.78,4.65,82.67,0.08267,W,B,dm,201601,8/22/16
VT99,1/5/16,1/12/16,25.65,280.3,25.65,2.49,63.88,0.06388,W,B,dz,201601,8/22/17
VT99,1/12/16,1/19/16,17.78,81.1,17.78,5.37,95.48,0.09548,W,B,dz,201601,8/22/17
VT99,1/19/16,1/26/16,8.38,28.2,8.38,5.96,49.96,0.04996,W,B,dz,201601,8/22/17
VT99,1/26/16,2/2/16,4.57,32.8,4.57,13.57,62.04,0.06204,W,A,,201601,8/22/17
VT99,2/2/16,2/9/16,13.46,146.9,13.46,5.24,70.54,0.07054,W,B,dz,201602,8/22/17
VT99,2/9/16,2/16/16,16.76,91.6,16.76,4.87,81.64,0.08164,W,B,dz,201602,8/22/17
VT99,2/16/16,2/23/16,24.38,245,24.38,8.06,196.54,0.19654,W,B,dzh,201602,8/22/17
VT99,2/23/16,3/1/16,50.29,499.9,50.29,3.52,177.03,0.17703,W,B,dz,201602,8/22/17
VT99,3/1/16,3/8/16,12.95,126,12.95,6.73,87.18,0.08718,W,B,dz,201603,8/22/17
VT99,3/8/16,3/15/16,19.05,194.1,19.05,5.91,112.59,0.11259,W,B,d,201603,8/22/17
VT99,3/15/16,3/22/16,9.65,112.2,9.65,5.06,48.84,0.04884,W,B,dz,201603,8/22/17
VT99,3/22/16,3/29/16,40.89,419,40.89,4.9,200.38,0.20038,W,B,d,201603,8/22/17
VT99,3/29/16,4/5/16,12.95,156.5,12.95,6.9,89.38,0.08938,W,B,dz,201604,8/22/17
VT99,4/5/16,4/12/16,62.99,683,62.99,3.52,221.73,0.22173,W,B,dh,201604,8/22/17
VT99,4/12/16,4/19/16,7.37,81.1,7.37,17.44,128.46,0.12846,W,B,dz,201604,8/22/17
VT99,4/19/16,4/26/16,14.48,134.5,14.48,6.72,97.29,0.09729,W,B,dz,201604,8/22/17
VT99,4/26/16,5/3/16,18.8,213.9,18.8,3.53,66.35,0.06635,W,B,d,201604,8/22/17
VT99,5/3/16,5/10/16,17.27,205.5,17.27,3.51,60.62,0.06062,W,B,d,201605,8/22/17
VT99,5/10/16,5/17/16,30.23,325.9,30.23,8.19,247.55,0.24755,W,B,d,201605,8/22/17
VT99,5/17/16,5/24/16,4.83,55.4,4.83,21.29,102.75,0.10275,W,B,d,201605,8/22/17
VT99,5/24/16,5/31/16,17.78,215.8,17.78,8.9,158.24,0.15824,W,B,d,201605,8/22/17
VT99,5/31/16,6/7/16,39.37,487.3,39.37,3.41,134.25,0.13425,W,B,d,201606,8/22/17
VT99,6/7/16,6/14/16,0,374.4,31.25,9.91,309.71,0.30971,W,B,dm,201606,8/18/17
VT99,6/14/16,6/21/16,5.08,57.7,5.08,16.27,82.65,0.08265,W,A,,201606,8/22/17
VT99,6/21/16,6/28/16,13.46,172.2,13.46,6.85,92.21,0.09221,W,B,d,201606,8/22/17
VT99,6/28/16,7/5/16,20.83,250.5,20.83,15.12,314.92,0.31492,W,B,d,201607,8/22/17
VT99,7/5/16,7/12/16,65.79,799,65.79,8.48,557.87,0.55787,W,B,d,201607,8/22/17
VT99,7/12/16,7/19/16,28.45,353.8,28.45,8.69,247.21,0.24721,W,B,d,201607,8/22/17
VT99,7/19/16,7/26/16,34.29,406.2,34.29,10.72,367.59,0.36759,W,B,dh,201607,8/22/17
VT99,7/26/16,8/2/16,21.84,268.8,21.84,5.82,127.13,0.12713,W,B,d,201607,8/22/17
