"date","siteID","sampleNumber","precipSampVolML","precipAmountCM","hgConcentrationNGL","hgDepositionUGM2","filename"
1997-11-14,"LKC",551,209,1.09424,2.833,0.031,"PMRC Wet Deposition Hg 1999-2003"
1997-11-15,"LKC",552,85,0.44502,1.401,0.0062,"PMRC Wet Deposition Hg 1999-2003"
1997-11-21,"LKC",553,54,0.28272,13.44,0.038,"PMRC Wet Deposition Hg 1999-2003"
1997-11-26,"LKC",554,356,1.86387,6.295,0.1173,"PMRC Wet Deposition Hg 1999-2003"
1997-11-28,"LKC",555,95,0.49738,10.11,0.0502,"PMRC Wet Deposition Hg 1999-2003"
1997-11-30,"LKC",556,140,0.73298,6.584,0.0482,"PMRC Wet Deposition Hg 1999-2003"
1997-12-05,"LKC",557,384,2.01047,4.153,0.0834,"PMRC Wet Deposition Hg 1999-2003"
1997-12-07,"LKC",558,69,0.36125,8.831,0.0319,"PMRC Wet Deposition Hg 1999-2003"
1997-12-13,"LKC",559,82,0.42931,5.323,0.0228,"PMRC Wet Deposition Hg 1999-2003"
1997-12-23,"LKC",560,25.6,0.13403,8.677,0.0116,"PMRC Wet Deposition Hg 1999-2003"
1997-12-25,"LKC",561,196.5,1.02879,4.99,0.0513,"PMRC Wet Deposition Hg 1999-2003"
1997-12-30,"LKC",562,251,1.31413,4.405,0.0578,"PMRC Wet Deposition Hg 1999-2003"
1997-12-30,"LKC",563,41,0.21465,5.508,0.0118,"PMRC Wet Deposition Hg 1999-2003"
1998-01-05,"LKC",565,387,2.02617,13.85,0.2807,"PMRC Wet Deposition Hg 1999-2003"
1998-01-05,"LKC",564,270,1.41361,9.348,0.1321,"PMRC Wet Deposition Hg 1999-2003"
1998-01-15,"LKC",566,173,0.90575,4.119,0.0373,"PMRC Wet Deposition Hg 1999-2003"
1998-01-20,"LKC",567,29,0.15183,17.34,0.0263,"PMRC Wet Deposition Hg 1999-2003"
1998-01-23,"LKC",568,204,1.06806,3.347,0.0357,"PMRC Wet Deposition Hg 1999-2003"
1998-02-12,"LKC",570,245,1.28272,3.024,0.0387,"PMRC Wet Deposition Hg 1999-2003"
1998-02-12,"LKC",569,183,0.95811,2.483,0.0237,"PMRC Wet Deposition Hg 1999-2003"
1998-02-17,"LKC",571,99,0.51832,8.867,0.0459,"PMRC Wet Deposition Hg 1999-2003"
1998-02-19,"LKC",572,120,0.62827,5.856,0.0367,"PMRC Wet Deposition Hg 1999-2003"
1998-02-20,"LKC",573,113,0.59162,3.361,0.0198,"PMRC Wet Deposition Hg 1999-2003"
1998-02-24,"LKC",574,314,1.64397,2.059,0.0338,"PMRC Wet Deposition Hg 1999-2003"
1998-02-28,"LKC",575,67,0.35078,9.885,0.0346,"PMRC Wet Deposition Hg 1999-2003"
