Date,SiteCode,samplenumber,PrecipSampVol_mL,precipamount_cm,HgConcentration_ng_L,Hg_deposition_ug_m2
4/20/94,LKC,165,480,0.356,9.689,0.0344
5/1/94,LKC,166,1168,1.397,13.15,0.1837
5/5/94,LKC,167,1184,0.61,18.42,0.1123
5/7/94,LKC,168,1186,1.473,8.776,0.1292
5/9/94,LKC,169,352,0.152,12.15,0.0184
5/10/94,LKC,170,257,0.076,12.71,0.0096
5/12/94,LKC,171,407,0.152,16.74,0.0254
5/16/94,LKC,173,1184,1.651,5.41,0.0893
5/16/94,LKC,172,1186,0.787,7.853,0.0618
5/17/94,LKC,174,994,0.533,24.5,0.1305
5/25/94,LKC,175,1187,0.66,8.828,0.0582
5/25/94,LKC,176,641,0.279,12.43,0.0347
5/26/94,LKC,177,1198,2.794,4.917,0.1373
5/29/94,LKC,178,1191,0.584,26.8,0.1565
5/31/94,LKC,179,1177,2.388,23.04,0.5502
6/1/94,LKC,180,585,0.33,18.76,0.0619
6/2/94,LKC,181,1195,0.711,8.921,0.0634
6/6/94,LKC,182,1197,3.912,12.04,0.471
6/7/94,LKC,183,509,0.457,8.453,0.0386
6/11/94,LKC,184,1181,0.889,11.64,0.1034
6/12/94,LKC,185,1184,2.032,7.323,0.1488
6/13/94,LKC,186,821,0.457,12.01,0.0549
6/21/94,LKC,187,279,0.381,43.7,0.1665
6/22/94,LKC,188,1186,0.66,16.97,0.112
6/25/94,LKC,189,171,0.203,12.17,0.0247
6/27/94,LKC,190,877,0.508,21.68,0.1101
7/5/94,LKC,191,426,0.381,12.03,0.0458
7/7/94,LKC,192,1195,1.6,5.475,0.0876
7/9/94,LKC,193,1180,1.27,13.82,0.1755
7/10/94,LKC,194,247,0.127,5.097,0.0064
7/15/94,LKC,195,187,0.076,9.232,0.007
7/18/94,LKC,196,313,0.203,14.42,0.0292
7/21/94,LKC,197,1190,0.635,15.81,0.1003
7/23/94,LKC,198,454,0.203,19.74,0.04
7/26/94,LKC,199,1028,0.533,16.52,0.088
